8.7092	-26.6936	-35.5824
8.97239	-26.1812	-35.5015
9.58261	-24.9856	-35.2945
10.5382	-23.1105	-34.9406
11.8408	-20.5618	-34.4104
13.4757	-17.3914	-33.6731
14.9722	-14.5326	-32.93
16.1294	-12.3599	-32.3128
16.9388	-10.8631	-31.8599
17.3923	-10.0338	-31.5982
17.4069	-9.79913	-31.5225
16.6958	-9.41872	-31.4017
15.2763	-8.65224	-31.175
13.1568	-7.49211	-30.871
10.3478	-5.92897	-30.5333
7.03125	-4.05257	-30.2334
4.24896	-2.45909	-30.0691
2.16667	-1.25926	-29.9997
0.779063	-0.457846	-29.9794
0.0843599	-0.0564541	-29.9781
-0.00346884	-0.00561163	-29.9625
-0.00345764	-0.00555106	-29.7989
-0.00344063	-0.00547735	-29.3483
-0.00337909	-0.00527555	-28.5015
-0.00329923	-0.00495443	-27.1728
-0.00314039	-0.00454019	-25.3146
-0.00296638	-0.00403267	-23.0013
-0.0026957	-0.00346142	-20.3313
-0.00241908	-0.00289684	-17.4517
-0.00207846	-0.00233185	-14.571
-0.0017502	-0.00184255	-11.8594
-0.0014428	-0.00141201	-9.45072
-0.00116309	-0.00110995	-7.44928
-0.000923206	-0.000849734	-5.86686
-0.000737353	-0.000640684	-4.62058
-0.0005846	-0.000492701	-3.63906
-0.000480199	-0.000380185	-2.86598
-0.00038212	-0.000280968	-2.25719
-0.000302025	-0.000215903	-1.77777
-0.000268118	-0.00017241	-1.40018
-0.000197044	-0.000117969	-1.10284
-0.000176427	-8.25279e-05	-0.868552
-0.000140046	-6.81565e-05	-0.684191
-0.000121395	-4.37764e-05	-0.538999
-9.59008e-05	-2.13826e-05	-0.424781
-8.44502e-05	-1.31007e-06	-0.334871
-8.19073e-05	-2.57282e-07	-0.264093
-6.86502e-05	7.42543e-06	-0.208355
-6.05982e-05	7.74528e-06	-0.164416
-5.9082e-05	1.72364e-05	-0.12992
-4.74059e-05	2.38276e-05	-0.103057
-3.84337e-05	3.93842e-05	-0.0397585
-5.63527e-06	8.90883e-05	0.204769
0.000106818	0.000182286	0.761674
0.000253836	0.000308275	1.73454
0.000484829	0.000576289	3.20489
0.000870025	0.000934344	5.19521
0.00127159	0.00119941	7.61252
0.00180673	0.00161461	10.3659
0.00234971	0.00200175	13.3841
0.00298822	0.00230383	16.611
0.00367544	0.00263229	20.002
0.00437729	0.00293102	23.5225
0.00515724	0.00322116	27.1449
0.00596954	0.00342736	30.8476
0.00678785	0.00357905	34.6135
0.00760831	0.0037023	38.4291
0.00848029	0.00378908	42.2838
0.00935908	0.00376348	46.1695
0.0102298	0.00369405	50.0793
0.0110956	0.00354815	54.0084
0.0119704	0.00337777	57.9525
0.0128149	0.0031286	61.9084
0.0136198	0.00281026	65.8665
0.014426	0.00246542	69.7229
0.0151194	0.00202966	73.3304
0.0157511	0.0016669	76.5721
0.016255	0.00127142	79.3558
